GeoID,AoA,cd,cl,cm,clp,clv,cdp,cdv,cd_stdev,cl_stdev,cm_stdev,cd_stderr,cl_stderr,cm_stderr,cd_ci95,cl_ci95,cm_ci95
LHC003,12,0.225361,1.976064,-0.467952,1.977494,-0.001430,0.203200,0.022161,0.003543,0.013305,0.018287,0.001585,0.005951,0.008179,0.003106,0.011663,0.016031
LHC003,14,0.259192,2.102605,-0.500356,2.104283,-0.001679,0.237280,0.021912,0.003554,0.012030,0.020501,0.000795,0.002690,0.004583,0.001558,0.005272,0.008983
LHC003,16,0.292769,2.165801,-0.501566,2.167751,-0.001950,0.271313,0.021456,0.003653,0.013828,0.028343,0.000577,0.002186,0.004480,0.001132,0.004284,0.008782
LHC003,18,0.353813,2.035167,-0.716456,2.036887,-0.001720,0.333629,0.020184,0.013281,0.057497,0.103930,0.001714,0.007422,0.013416,0.003360,0.014547,0.026295
LHC003,20,0.439478,1.869591,-0.923588,1.871894,-0.002302,0.420044,0.019434,0.015939,0.060285,0.160432,0.002057,0.007782,0.020709,0.004033,0.015252,0.040589
LHC003,22,0.497240,1.878195,-0.955357,1.880678,-0.002483,0.478710,0.018529,0.018844,0.068607,0.174210,0.002433,0.008856,0.022488,0.004768,0.017359,0.044077
LHC004,4,0.064797,0.897105,-0.199118,0.897846,-0.000740,0.043369,0.021428,0.001197,0.009114,0.012870,0.000535,0.004075,0.005754,0.001049,0.007986,0.011277
LHC004,6,0.081620,1.097225,-0.253974,1.098242,-0.001018,0.060216,0.021404,0.001460,0.009865,0.014939,0.000653,0.004410,0.006678,0.001279,0.008643,0.013089
LHC004,8,0.103047,1.284904,-0.308507,1.286190,-0.001286,0.081799,0.021247,0.002005,0.011592,0.017013,0.000896,0.005182,0.007605,0.001757,0.010156,0.014906
LHC004,10,0.128898,1.459556,-0.343621,1.461070,-0.001514,0.107861,0.021037,0.002617,0.012852,0.020262,0.001170,0.005744,0.009056,0.002293,0.011258,0.017750
LHC004,12,0.157340,1.607993,-0.363431,1.609732,-0.001738,0.136600,0.020741,0.002888,0.011914,0.022549,0.001291,0.005326,0.010080,0.002530,0.010439,0.019758
LHC004,14,0.189816,1.715862,-0.361090,1.717780,-0.001918,0.169540,0.020276,0.003751,0.014379,0.022028,0.000839,0.003215,0.004925,0.001644,0.006302,0.009654
LHC004,16,0.299875,1.629134,-0.235556,1.631621,-0.002487,0.280944,0.018931,0.010054,0.037986,0.042971,0.001608,0.006077,0.006875,0.003153,0.011911,0.013474
LHC004,18,0.384298,1.557515,-0.338905,1.560041,-0.002526,0.366453,0.017845,0.015449,0.052458,0.113407,0.002775,0.009421,0.020368,0.005438,0.018466,0.039921
LHC004,20,0.468503,1.590825,-0.398803,1.593821,-0.002996,0.451016,0.017487,0.016435,0.049041,0.094328,0.002804,0.008366,0.016092,0.005495,0.016398,0.031541
LHC004,22,0.528454,1.457590,-0.589281,1.460867,-0.003277,0.511585,0.016869,0.020715,0.066033,0.137362,0.003434,0.010946,0.022770,0.006730,0.021454,0.044629
LHC005,4,0.138655,1.405182,-0.152992,1.406230,-0.001048,0.116611,0.022043,0.001660,0.009509,0.014603,0.000740,0.004243,0.006515,0.001451,0.008315,0.012770
LHC005,6,0.163300,1.598383,-0.205144,1.599727,-0.001344,0.141281,0.022019,0.001801,0.010755,0.015088,0.000804,0.004802,0.006737,0.001576,0.009412,0.013204
LHC005,8,0.193254,1.792434,-0.262987,1.794016,-0.001582,0.171289,0.021964,0.002678,0.012328,0.016693,0.001196,0.005506,0.007456,0.002344,0.010792,0.014614
LHC005,10,0.225997,1.965552,-0.318662,1.967327,-0.001776,0.204143,0.021853,0.003486,0.014231,0.020390,0.001558,0.006360,0.009113,0.003054,0.012466,0.017862
LHC005,12,0.256451,2.086562,-0.348294,2.088590,-0.002028,0.235009,0.021442,0.003670,0.013426,0.020666,0.001641,0.006002,0.009239,0.003215,0.011764,0.018108
LHC005,14,0.289400,2.155958,-0.364230,2.158130,-0.002173,0.268669,0.020731,0.004881,0.016682,0.028160,0.001091,0.003729,0.006294,0.002138,0.007308,0.012336
LHC005,16,0.405811,1.972334,-0.154544,1.975247,-0.002913,0.386795,0.019016,0.013652,0.059464,0.050729,0.002158,0.009400,0.008019,0.004230,0.018424,0.015718
LHC005,18,0.479728,1.844944,-0.103804,1.848460,-0.003516,0.461414,0.018314,0.014451,0.055802,0.053302,0.001866,0.007204,0.006881,0.003656,0.014119,0.013487
LHC005,20,0.549709,1.643997,-0.174219,1.647645,-0.003648,0.532643,0.017066,0.013289,0.042299,0.110997,0.002101,0.006686,0.017545,0.004117,0.013105,0.034389
LHC005,22,0.614582,1.557959,-0.352508,1.561768,-0.003809,0.598271,0.016311,0.010895,0.029903,0.089964,0.001722,0.004727,0.014222,0.003376,0.009265,0.027875
LHC006,4,0.118008,1.282480,-0.206680,1.283103,-0.000623,0.095927,0.022081,0.001157,0.007907,0.014073,0.000517,0.003534,0.006289,0.001014,0.006926,0.012327
LHC006,6,0.140322,1.477024,-0.264602,1.477851,-0.000827,0.118092,0.022230,0.001609,0.009540,0.014437,0.000718,0.004259,0.006446,0.001408,0.008348,0.012634
LHC006,8,0.167638,1.672900,-0.323039,1.673915,-0.001015,0.145340,0.022298,0.002374,0.012052,0.015907,0.001061,0.005385,0.007108,0.002080,0.010555,0.013932
LHC006,10,0.197744,1.851334,-0.380744,1.852563,-0.001229,0.175470,0.022274,0.003059,0.013603,0.019520,0.001367,0.006080,0.008724,0.002680,0.011917,0.017100
LHC006,12,0.231190,2.012884,-0.438387,2.014346,-0.001462,0.208989,0.022200,0.003566,0.013918,0.023180,0.001594,0.006221,0.010361,0.003124,0.012194,0.020308
LHC006,14,0.261754,2.121150,-0.481866,2.122797,-0.001647,0.239924,0.021830,0.003758,0.013302,0.023173,0.000840,0.002973,0.005179,0.001646,0.005827,0.010151
LHC006,16,0.296048,2.192572,-0.486409,2.194526,-0.001954,0.274650,0.021397,0.004267,0.013861,0.031935,0.000954,0.003098,0.007139,0.001870,0.006073,0.013992
LHC006,18,0.355340,2.050304,-0.719506,2.051927,-0.001622,0.335324,0.020016,0.012733,0.052258,0.106715,0.001644,0.006746,0.013776,0.003222,0.013223,0.027002
LHC006,20,0.437313,1.868978,-0.899767,1.871179,-0.002201,0.418272,0.019041,0.014843,0.056314,0.165008,0.002347,0.008904,0.026089,0.004600,0.017451,0.051134
LHC006,22,0.487590,1.867411,-0.970123,1.869757,-0.002347,0.469440,0.018150,0.018058,0.066221,0.164913,0.002331,0.008549,0.021290,0.004569,0.016756,0.041728
LHC007,4,0.133017,1.373994,-0.183196,1.374936,-0.000942,0.111120,0.021897,0.001358,0.008462,0.016385,0.000607,0.003784,0.007327,0.001190,0.007416,0.014361
LHC007,6,0.157655,1.567518,-0.239298,1.568716,-0.001197,0.135772,0.021883,0.001789,0.010350,0.017165,0.000800,0.004628,0.007674,0.001568,0.009070,0.015042
LHC007,8,0.186557,1.744601,-0.290327,1.746024,-0.001422,0.164801,0.021756,0.003246,0.013761,0.018939,0.001451,0.006152,0.008467,0.002844,0.012057,0.016595
LHC007,10,0.218375,1.928573,-0.357874,1.930204,-0.001631,0.196857,0.021518,0.003031,0.014555,0.020729,0.001355,0.006506,0.009266,0.002656,0.012752,0.018161
LHC007,12,0.253496,2.053773,-0.372562,2.055700,-0.001927,0.232431,0.021065,0.003162,0.011929,0.018470,0.000761,0.002872,0.004447,0.001492,0.005629,0.008716
LHC007,14,0.357804,1.837186,-0.139732,1.839836,-0.002650,0.338542,0.019262,0.009517,0.041279,0.039840,0.001559,0.006761,0.006526,0.003055,0.013252,0.012790
LHC007,16,0.434543,1.763011,-0.100734,1.766216,-0.003205,0.416000,0.018543,0.011577,0.043689,0.037746,0.001655,0.006245,0.005395,0.003243,0.012239,0.010574
LHC007,18,0.509213,1.755466,-0.116471,1.759160,-0.003694,0.491207,0.018006,0.017375,0.064883,0.048294,0.002505,0.009354,0.006962,0.004910,0.018334,0.013646
LHC007,20,0.565352,1.564889,-0.141609,1.568800,-0.003911,0.548533,0.016819,0.012497,0.038107,0.103510,0.002003,0.006107,0.016589,0.003925,0.011970,0.032514
LHC007,22,0.637673,1.545400,-0.315425,1.549472,-0.004072,0.621467,0.016206,0.016373,0.043349,0.088934,0.002425,0.006419,0.013169,0.004752,0.012581,0.025811
LHC008,4,0.139599,1.325447,-0.079515,1.326319,-0.000872,0.117241,0.022358,0.002077,0.010632,0.015320,0.000928,0.004753,0.006848,0.001820,0.009315,0.013422
LHC008,6,0.166041,1.537754,-0.128936,1.538850,-0.001095,0.143587,0.022455,0.001662,0.009847,0.014195,0.000742,0.004396,0.006337,0.001454,0.008616,0.012421
LHC008,8,0.193508,1.724343,-0.182003,1.725603,-0.001260,0.170947,0.022561,0.002179,0.011960,0.015669,0.000974,0.005348,0.007007,0.001910,0.010483,0.013734
LHC008,10,0.223720,1.900767,-0.244628,1.902170,-0.001403,0.201113,0.022607,0.003146,0.014419,0.016625,0.001405,0.006439,0.007424,0.002753,0.012621,0.014552
LHC008,12,0.254494,2.051418,-0.311772,2.053016,-0.001597,0.231939,0.022555,0.003477,0.014159,0.019108,0.001553,0.006325,0.008536,0.003044,0.012397,0.016730
LHC008,14,0.284138,2.165422,-0.394704,2.167182,-0.001761,0.261985,0.022153,0.004106,0.015055,0.027041,0.000918,0.003366,0.006046,0.001799,0.006597,0.011849
LHC008,16,0.320633,2.271274,-0.436644,2.273416,-0.002141,0.298851,0.021782,0.004468,0.014984,0.031477,0.000999,0.003350,0.007038,0.001958,0.006567,0.013794
LHC008,18,0.372145,1.987225,-0.633124,1.989076,-0.001851,0.352564,0.019581,0.009591,0.058736,0.160743,0.001516,0.009286,0.025413,0.002972,0.018201,0.049809
LHC008,20,0.446793,1.860516,-0.878335,1.862822,-0.002305,0.427839,0.018954,0.018257,0.072220,0.177566,0.002357,0.009322,0.022920,0.004619,0.018271,0.044923
LHC008,22,0.508211,1.934712,-0.965561,1.937318,-0.002606,0.489727,0.018485,0.014454,0.059863,0.153720,0.002285,0.009465,0.024305,0.004479,0.018552,0.047638
LHC009,4,0.089501,1.081455,-0.037764,1.082417,-0.000962,0.067612,0.021889,0.001171,0.007972,0.013874,0.000523,0.003564,0.006203,0.001026,0.006986,0.012159
LHC009,6,0.109532,1.279244,-0.093167,1.280493,-0.001249,0.087657,0.021875,0.001526,0.009644,0.014569,0.000682,0.004312,0.006514,0.001337,0.008451,0.012767
LHC009,8,0.134173,1.470903,-0.148203,1.472399,-0.001496,0.112331,0.021842,0.002478,0.012045,0.016987,0.001108,0.005383,0.007592,0.002171,0.010551,0.014880
LHC009,10,0.162401,1.649927,-0.206818,1.651668,-0.001741,0.140802,0.021598,0.003007,0.011829,0.017894,0.001344,0.005286,0.007996,0.002634,0.010360,0.015671
LHC009,12,0.192916,1.808268,-0.258454,1.810236,-0.001969,0.171556,0.021360,0.003078,0.011102,0.019328,0.001375,0.004961,0.008637,0.002696,0.009723,0.016928
LHC009,14,0.224440,1.919502,-0.296528,1.921621,-0.002120,0.203668,0.020771,0.004028,0.013700,0.021843,0.000901,0.003063,0.004884,0.001765,0.006004,0.009572
LHC009,16,0.260427,1.977633,-0.283531,1.980005,-0.002372,0.240326,0.020101,0.004303,0.016663,0.025072,0.000718,0.002780,0.004182,0.001407,0.005448,0.008197
LHC009,18,0.347026,1.671673,-0.527342,1.673949,-0.002275,0.328634,0.018392,0.013593,0.067162,0.176624,0.002187,0.010805,0.028416,0.004286,0.021178,0.055695
LHC009,20,0.404736,1.666666,-0.682401,1.669135,-0.002469,0.387255,0.017481,0.013557,0.053309,0.149202,0.002234,0.008784,0.024585,0.004378,0.017217,0.048187
LHC009,22,0.511613,1.576894,-0.714411,1.579794,-0.002901,0.495314,0.016298,0.020708,0.059190,0.169590,0.003274,0.009359,0.026814,0.006417,0.018343,0.052556
LHC010,4,0.095856,1.098459,-0.027111,1.099369,-0.000910,0.073946,0.021910,0.001145,0.007882,0.013621,0.000511,0.003519,0.006082,0.001002,0.006898,0.011920
LHC010,6,0.115612,1.294808,-0.079113,1.295963,-0.001155,0.093635,0.021977,0.001552,0.009521,0.014574,0.000694,0.004254,0.006512,0.001359,0.008338,0.012763
LHC010,8,0.140694,1.490721,-0.132656,1.492108,-0.001387,0.118629,0.022065,0.002205,0.011194,0.016373,0.000984,0.004997,0.007310,0.001929,0.009795,0.014327
LHC010,10,0.170031,1.678972,-0.183121,1.680645,-0.001673,0.147978,0.022052,0.002958,0.012357,0.016743,0.001323,0.005525,0.007486,0.002592,0.010829,0.014673
LHC010,12,0.202678,1.855881,-0.221687,1.857875,-0.001995,0.180637,0.022041,0.003290,0.012093,0.018855,0.001470,0.005404,0.008426,0.002882,0.010592,0.016515
LHC010,14,0.236572,1.994739,-0.242191,1.996975,-0.002236,0.214770,0.021802,0.003553,0.012277,0.019653,0.000794,0.002745,0.004394,0.001557,0.005380,0.008612
LHC010,16,0.274978,2.087387,-0.216680,2.089813,-0.002427,0.253723,0.021255,0.003868,0.013153,0.022706,0.000865,0.002941,0.005076,0.001695,0.005763,0.009949
LHC010,18,0.328610,2.120756,-0.159162,2.123289,-0.002534,0.308071,0.020539,0.004487,0.013284,0.024234,0.001003,0.002970,0.005417,0.001966,0.005821,0.010618
LHC010,20,0.464182,1.919533,-0.109100,1.922645,-0.003112,0.444929,0.019253,0.014962,0.043313,0.041647,0.002058,0.005959,0.005729,0.004034,0.011679,0.011230
LHC010,22,0.527696,1.818262,-0.271981,1.821533,-0.003271,0.509431,0.018266,0.021220,0.059556,0.095540,0.002739,0.007689,0.012334,0.005369,0.015070,0.024175
LHC011,4,0.062623,0.834337,-0.097892,0.834900,-0.000563,0.041087,0.021536,0.001109,0.008369,0.013517,0.000495,0.003735,0.006033,0.000971,0.007321,0.011825
LHC011,6,0.078932,1.036475,-0.149195,1.037239,-0.000764,0.057245,0.021688,0.001465,0.009958,0.013667,0.000655,0.004451,0.006109,0.001284,0.008723,0.011973
LHC011,8,0.099243,1.230945,-0.202459,1.231914,-0.000968,0.077555,0.021688,0.002213,0.011842,0.015552,0.000988,0.005290,0.006947,0.001937,0.010369,0.013617
LHC011,10,0.124860,1.424531,-0.254901,1.425735,-0.001205,0.103109,0.021751,0.002940,0.012762,0.016626,0.001313,0.005701,0.007428,0.002574,0.011175,0.014558
LHC011,12,0.154842,1.609331,-0.288451,1.610814,-0.001483,0.133024,0.021818,0.003293,0.012052,0.018847,0.001471,0.005385,0.008421,0.002884,0.010554,0.016505
LHC011,14,0.186634,1.763059,-0.301501,1.764793,-0.001735,0.164808,0.021826,0.003237,0.011492,0.018024,0.000724,0.002569,0.004029,0.001418,0.005035,0.007896
LHC011,16,0.223294,1.874690,-0.277316,1.876606,-0.001916,0.201861,0.021433,0.003629,0.013389,0.019987,0.000811,0.002994,0.004469,0.001590,0.005868,0.008759
LHC011,18,0.274964,1.942087,-0.232849,1.944198,-0.002111,0.253927,0.021037,0.004003,0.012511,0.023242,0.000895,0.002796,0.005195,0.001754,0.005481,0.010182
LHC011,20,0.329661,1.982930,-0.233773,1.985203,-0.002273,0.308977,0.020684,0.004594,0.015492,0.029965,0.000726,0.002449,0.004738,0.001424,0.004801,0.009286
LHC011,22,0.429248,1.860537,-0.537539,1.862605,-0.002068,0.410408,0.018840,0.015302,0.056168,0.106149,0.002419,0.008879,0.016779,0.004741,0.017402,0.032887
LHC012,4,0.123184,1.317647,-0.110224,1.318684,-0.001036,0.101051,0.022133,0.001430,0.008524,0.013777,0.000639,0.003811,0.006159,0.001253,0.007470,0.012072
LHC012,6,0.147094,1.517086,-0.165190,1.518394,-0.001308,0.124987,0.022107,0.001675,0.010463,0.015206,0.000749,0.004676,0.006796,0.001468,0.009165,0.013319
LHC012,8,0.175513,1.707855,-0.226739,1.709409,-0.001554,0.153475,0.022038,0.002658,0.012586,0.017533,0.001188,0.005625,0.007835,0.002328,0.011024,0.015357
LHC012,10,0.205023,1.879698,-0.288275,1.881467,-0.001769,0.183168,0.021855,0.003252,0.013901,0.018243,0.001452,0.006209,0.008148,0.002847,0.012170,0.015970
LHC012,12,0.235381,2.021209,-0.349356,2.023164,-0.001955,0.213856,0.021525,0.003553,0.013836,0.021955,0.001588,0.006185,0.009814,0.003113,0.012122,0.019235
LHC012,14,0.263796,2.097559,-0.400888,2.099621,-0.002062,0.242956,0.020840,0.004182,0.016006,0.025048,0.000935,0.003578,0.005599,0.001832,0.007013,0.010974
LHC012,16,0.332302,1.886472,-0.416238,1.888817,-0.002344,0.313376,0.018926,0.014409,0.073231,0.153618,0.001883,0.009572,0.020079,0.003691,0.018760,0.039354
LHC012,18,0.392168,1.758460,-0.724343,1.760877,-0.002417,0.373917,0.018252,0.013976,0.062299,0.204703,0.002283,0.010177,0.033440,0.004475,0.019947,0.065542
LHC012,20,0.446071,1.728685,-0.822122,1.731271,-0.002586,0.428702,0.017369,0.018245,0.069488,0.163369,0.002980,0.011350,0.026684,0.005841,0.022246,0.052301
LHC012,22,0.563051,1.677759,-0.767176,1.680762,-0.003003,0.546894,0.016156,0.024155,0.071301,0.150457,0.003416,0.010083,0.021277,0.006695,0.019763,0.041703
LHC013,4,0.063235,0.883300,-0.174371,0.884061,-0.000761,0.041720,0.021515,0.001204,0.008757,0.012407,0.000538,0.003915,0.005546,0.001055,0.007673,0.010871
LHC013,6,0.080073,1.082574,-0.228849,1.083613,-0.001039,0.058615,0.021458,0.001481,0.010035,0.014829,0.000662,0.004487,0.006630,0.001298,0.008794,0.012996
LHC013,8,0.101401,1.272546,-0.281975,1.273843,-0.001297,0.080101,0.021300,0.002010,0.010939,0.017554,0.000899,0.004890,0.007847,0.001761,0.009584,0.015380
LHC013,10,0.126628,1.449342,-0.326394,1.450892,-0.001550,0.105489,0.021139,0.002607,0.011953,0.019215,0.001166,0.005345,0.008592,0.002285,0.010476,0.016840
LHC013,12,0.156024,1.599266,-0.348895,1.601004,-0.001738,0.135258,0.020766,0.003098,0.012606,0.020158,0.001386,0.005637,0.009015,0.002716,0.011049,0.017669
LHC013,14,0.188342,1.707058,-0.348171,1.708955,-0.001897,0.168096,0.020246,0.003424,0.012796,0.022704,0.000765,0.002861,0.005076,0.001500,0.005607,0.009949
LHC013,16,0.296734,1.624267,-0.216117,1.626783,-0.002515,0.277732,0.019002,0.008771,0.029247,0.038025,0.001601,0.005339,0.006942,0.003138,0.010465,0.013606
LHC013,18,0.379440,1.538463,-0.255636,1.541326,-0.002863,0.361405,0.018034,0.011243,0.040508,0.085318,0.002514,0.009057,0.019076,0.004927,0.017752,0.037389
LHC013,20,0.481908,1.523787,-0.476828,1.526806,-0.003019,0.464564,0.017344,0.020183,0.058965,0.131061,0.004513,0.013185,0.029306,0.008846,0.025843,0.057440
LHC013,22,0.544900,1.517185,-0.651056,1.520516,-0.003331,0.527982,0.016918,0.017914,0.047409,0.102051,0.003271,0.008656,0.018632,0.006410,0.016965,0.036518
LHC014,4,0.103193,1.084680,-0.029533,1.085515,-0.000835,0.081103,0.022089,0.001354,0.008940,0.014966,0.000605,0.003996,0.006689,0.001186,0.007831,0.013110
LHC014,6,0.122872,1.280363,-0.082349,1.281365,-0.001002,0.100635,0.022236,0.001497,0.010160,0.014183,0.000668,0.004536,0.006333,0.001310,0.008891,0.012412
LHC014,8,0.147966,1.475884,-0.136736,1.477067,-0.001184,0.125614,0.022352,0.002131,0.011683,0.014825,0.000952,0.005218,0.006622,0.001865,0.010227,0.012978
LHC014,10,0.176589,1.665556,-0.187260,1.666926,-0.001370,0.154070,0.022519,0.003001,0.013751,0.017989,0.001341,0.006144,0.008038,0.002628,0.012042,0.015754
LHC014,12,0.208097,1.840036,-0.236435,1.841622,-0.001586,0.185502,0.022596,0.003563,0.013302,0.021003,0.001593,0.005949,0.009393,0.003123,0.011660,0.018410
LHC014,14,0.240300,1.990657,-0.295246,1.992433,-0.001777,0.217903,0.022397,0.003544,0.011665,0.020833,0.000792,0.002608,0.004658,0.001553,0.005112,0.009130
LHC014,16,0.269087,2.066676,-0.373080,2.068598,-0.001922,0.247218,0.021869,0.004180,0.013974,0.033005,0.000935,0.003124,0.007380,0.001832,0.006124,0.014465
LHC014,18,0.327993,1.998689,-0.560102,2.000351,-0.001663,0.307544,0.020449,0.011633,0.054703,0.114447,0.001502,0.007062,0.014775,0.002943,0.013842,0.028959
LHC014,20,0.384677,2.065263,-0.628824,2.066995,-0.001732,0.364815,0.019862,0.016541,0.063296,0.104652,0.002615,0.010007,0.016546,0.005126,0.019614,0.032430
LHC014,22,0.441926,2.103135,-0.702261,2.105055,-0.001920,0.422338,0.019588,0.013272,0.048254,0.091146,0.002098,0.007628,0.014408,0.004112,0.014950,0.028240
LHC015,4,0.106376,1.152651,-0.014110,1.153468,-0.000817,0.084339,0.022038,0.001168,0.007949,0.014112,0.000521,0.003547,0.006297,0.001022,0.006952,0.012342
LHC015,6,0.127948,1.345782,-0.061590,1.346805,-0.001023,0.105694,0.022254,0.001557,0.010143,0.013784,0.000697,0.004537,0.006165,0.001365,0.008893,0.012084
LHC015,8,0.153810,1.540259,-0.112109,1.541474,-0.001215,0.131330,0.022481,0.002322,0.012506,0.014182,0.001037,0.005588,0.006336,0.002033,0.010952,0.012419
LHC015,10,0.182840,1.720923,-0.162707,1.722333,-0.001410,0.160244,0.022596,0.003058,0.014431,0.014315,0.001367,0.006449,0.006398,0.002679,0.012641,0.012540
LHC015,12,0.214610,1.887905,-0.209949,1.889542,-0.001637,0.191991,0.022619,0.003385,0.013232,0.017313,0.001512,0.005908,0.007731,0.002963,0.011580,0.015152
LHC015,14,0.244704,2.008297,-0.273033,2.010142,-0.001844,0.222427,0.022278,0.003621,0.012255,0.020660,0.000809,0.002739,0.004617,0.001586,0.005368,0.009049
LHC015,16,0.275661,2.079615,-0.304119,2.081630,-0.002014,0.253975,0.021686,0.004166,0.013973,0.025778,0.000931,0.003123,0.005761,0.001825,0.006121,0.011292
LHC015,18,0.324417,1.913828,-0.478565,1.915602,-0.001774,0.304458,0.019959,0.010594,0.047614,0.119941,0.001675,0.007526,0.018959,0.003282,0.014751,0.037159
LHC015,20,0.374739,1.937064,-0.555099,1.938847,-0.001783,0.355287,0.019452,0.015107,0.056138,0.111349,0.002136,0.007938,0.015744,0.004187,0.015558,0.030859
LHC015,22,0.442372,1.782983,-0.773781,1.785348,-0.002365,0.423776,0.018596,0.012694,0.047042,0.161749,0.002007,0.007436,0.025568,0.003933,0.014574,0.050113
LHC016,4,0.065636,0.900377,-0.114986,0.901079,-0.000702,0.044064,0.021572,0.001088,0.007703,0.014024,0.000486,0.003439,0.006260,0.000952,0.006740,0.012270
LHC016,6,0.082680,1.103158,-0.170176,1.104133,-0.000975,0.061058,0.021622,0.001457,0.009342,0.014834,0.000651,0.004173,0.006626,0.001275,0.008179,0.012987
LHC016,8,0.104745,1.299101,-0.221607,1.300341,-0.001240,0.083162,0.021583,0.002155,0.011390,0.016953,0.000963,0.005088,0.007574,0.001887,0.009973,0.014845
LHC016,10,0.131247,1.487232,-0.273717,1.488767,-0.001535,0.109732,0.021515,0.002992,0.012659,0.017205,0.001338,0.005658,0.007690,0.002622,0.011090,0.015073
LHC016,12,0.161314,1.667798,-0.318617,1.669607,-0.001810,0.139882,0.021432,0.003088,0.011683,0.020827,0.001380,0.005222,0.009309,0.002705,0.010235,0.018246
