task_id,difficulty,title,artifact,bytes,sha256
jaw_ch04_base_front_free,hard,Build the housing front end from a blank design,tasks/jaw_ch04_base_front_free/answer.f3d,117880,c916755c247ba13d8c8ac4dc4921680178c4979470e443b57e1834049801a80d
jaw_ch05_pattern_key,hard,Pattern the bolt detail and build the keyed shaft,tasks/jaw_ch05_pattern_key/answer.f3d,131729,2f1608326db6064a143d91a972cb15b688bbc2085f2bb1e0581684032d30ef9d
jaw_ch05_pattern_key_free,hard,Pattern the bolt detail and build the keyed shaft,tasks/jaw_ch05_pattern_key_free/answer.f3d,131729,2f1608326db6064a143d91a972cb15b688bbc2085f2bb1e0581684032d30ef9d
jaw_ch06_tail_gusset,hard,"Build the gusset, trim it, and cut both holes",tasks/jaw_ch06_tail_gusset/answer.f3d,199830,2bdd10cdfbab05c4f6fd516441046ccd488ef8f02437a28e7361f0d4323c3e29
jaw_ch06_tail_gusset_free,hard,"Build the gusset, trim it, and cut both holes",tasks/jaw_ch06_tail_gusset_free/answer.f3d,199830,2bdd10cdfbab05c4f6fd516441046ccd488ef8f02437a28e7361f0d4323c3e29
jaw_ch07_mid_span,hard,Build the mid section from shaft to first flange,tasks/jaw_ch07_mid_span/answer.f3d,164323,b59136bd1f33d63c58d0f7d2735f7c4620d75f8037133cc3fc1788ac7bae66c7
jaw_ch07_mid_span_free,hard,Build the mid section from shaft to first flange,tasks/jaw_ch07_mid_span_free/answer.f3d,164323,b59136bd1f33d63c58d0f7d2735f7c4620d75f8037133cc3fc1788ac7bae66c7
jaw_ch08_back_half,expert,Complete the back half of the jaw housing,tasks/jaw_ch08_back_half/answer.f3d,199830,2bdd10cdfbab05c4f6fd516441046ccd488ef8f02437a28e7361f0d4323c3e29
jaw_ch08_back_half_free,expert,Complete the back half of the jaw housing,tasks/jaw_ch08_back_half_free/answer.f3d,199830,2bdd10cdfbab05c4f6fd516441046ccd488ef8f02437a28e7361f0d4323c3e29
jaw_ch09_full_build,expert,Build the complete jaw housing from a blank design,tasks/jaw_ch09_full_build/answer.f3d,199830,2bdd10cdfbab05c4f6fd516441046ccd488ef8f02437a28e7361f0d4323c3e29
jaw_ch09_full_build_free,expert,Build the complete jaw housing from a blank design,tasks/jaw_ch09_full_build_free/answer.f3d,199830,2bdd10cdfbab05c4f6fd516441046ccd488ef8f02437a28e7361f0d4323c3e29
jaw_complete_curved_linkage,expert,Complete curved two-socket Jaw linkage,tasks/jaw_complete_curved_linkage/answer.f3d,275941,93739cbbcfa40b04a793c8f1a6fd01a9a995a01b594f7ea2b8b9ff0ad7a03781
jaw_se_05_long_keyed_shaft,hard,Sketch and extrude the keyed shaft,tasks/jaw_se_05_long_keyed_shaft/answer.f3d,131729,2f1608326db6064a143d91a972cb15b688bbc2085f2bb1e0581684032d30ef9d
jaw_se_06_first_end_flange,hard,Sketch and extrude the first end flange,tasks/jaw_se_06_first_end_flange/answer.f3d,164323,b59136bd1f33d63c58d0f7d2735f7c4620d75f8037133cc3fc1788ac7bae66c7
jaw_se_07_raised_end_inset,hard,Sketch and extrude the raised end inset,tasks/jaw_se_07_raised_end_inset/answer.f3d,196027,0f22404be0f085694d159423f90389cc2809ad49356d81a17201b8f6a506f700
jaw_se_08_final_end_flange,hard,Sketch and extrude the final end flange,tasks/jaw_se_08_final_end_flange/answer.f3d,182729,dbb39809e01c794fff4e400cd6aa7beb904b896af1ac4bac19dc453ca0f4a5e8
jaw_se_09_side_disk,hard,Sketch and extrude the side disk,tasks/jaw_se_09_side_disk/answer.f3d,157143,d49bc3f6d688cff013358486dd300ce1189ce928b0248d36ee010d019ba0ab02
jaw_se_10_lower_support,hard,Sketch and extrude the lower support,tasks/jaw_se_10_lower_support/answer.f3d,171791,6eac4a3cc07e8ef951c75a428feeddd20a603b9045f2d6c9a11d4493e52368b3
jaw_se_11_added_gusset,hard,Sketch and extrude the gusset,tasks/jaw_se_11_added_gusset/answer.f3d,181095,dba456c2d1c500eaaa9e9d8c1f67d96e71aa950f60f2ef013b7a9638c59d14c3
jaw_se_12_side_disk_hole,hard,Sketch and cut the side-disk hole,tasks/jaw_se_12_side_disk_hole/answer.f3d,191984,abee55844a3792cfc65c551d9c6c40c86547cfe344dfa6b191f345b423064108
jaw_se_13_axial_end_flange_hole,hard,Sketch and cut the axial end-flange hole,tasks/jaw_se_13_axial_end_flange_hole/answer.f3d,199830,2bdd10cdfbab05c4f6fd516441046ccd488ef8f02437a28e7361f0d4323c3e29
proc_connected_lines_14e1ddda38c3,hard,Draw an open 4-segment orthogonal chain,tasks/proc_connected_lines_14e1ddda38c3/answer.f3d,41602,4a8ab0dc5d4485f5015bda784cc7bab2ce523c3a43e236459a1b483cc8f23f7c
proc_polygon_6a15b2b2b55d,hard,Draw a regular 8-sided polygon,tasks/proc_polygon_6a15b2b2b55d/answer.f3d,49212,877f958f6f7c78c4d6d7c041969b2940eae4121028d3a238d2a40296cf445caa
proc_spline_profile_29ee4d0d9bf2,hard,Draw a closed profile with a 4-point fitted spline,tasks/proc_spline_profile_29ee4d0d9bf2/answer.f3d,44639,f99017f6e92ea007fefd8a72fdd8e405ca02a237235464d6d44e5b7c221244ed
proc_spline_profile_617986cd5abf,hard,Draw a closed profile with a 4-point fitted spline,tasks/proc_spline_profile_617986cd5abf/answer.f3d,44563,8cca6e8d0ddfc0d16dd37de86a291b556fc9369d64c53a435230c54a15a3e673
proc_spline_profile_9d745c7e4ed3,hard,Draw a closed profile with a 6-point fitted spline,tasks/proc_spline_profile_9d745c7e4ed3/answer.f3d,43837,1bd534ee6afb3a01cdbac1bd488b750bbe299765aa4a1ae39f6ed3cc1ce60927
