x,rho,u,p
0.0505,1.00000000,0.00000000,1.00000000
0.0515,1.00000000,0.00000000,1.00000000
0.0525,1.00000000,0.00000000,1.00000000
0.0535,1.00000000,0.00000000,1.00000000
0.0545,1.00000000,0.00000000,1.00000000
0.0555,1.00000000,0.00000000,1.00000000
0.0565,1.00000000,0.00000000,1.00000000
0.0575,1.00000000,0.00000000,1.00000000
0.0585,1.00000000,0.00000000,1.00000000
0.0595,1.00000000,0.00000000,1.00000000
0.0605,1.00000000,0.00000000,1.00000000
0.0615,1.00000000,0.00000000,1.00000000
0.0625,1.00000000,0.00000000,1.00000000
0.0635,1.00000000,0.00000000,1.00000000
0.0645,1.00000000,0.00000000,1.00000000
0.0655,1.00000000,0.00000000,1.00000000
0.0665,1.00000000,0.00000000,1.00000000
0.0675,1.00000000,0.00000000,1.00000000
0.0685,1.00000000,0.00000000,1.00000000
0.0695,1.00000000,0.00000000,1.00000000
0.0705,1.00000000,0.00000000,1.00000000
0.0715,1.00000000,0.00000000,1.00000000
0.0725,1.00000000,0.00000000,1.00000000
0.0735,1.00000000,0.00000000,1.00000000
0.0745,1.00000000,0.00000000,1.00000000
0.0755,1.00000000,0.00000000,1.00000000
0.0765,1.00000000,0.00000000,1.00000000
0.0775,1.00000000,0.00000000,1.00000000
0.0785,1.00000000,0.00000000,1.00000000
0.0795,1.00000000,0.00000000,1.00000000
0.0805,1.00000000,0.00000000,1.00000000
0.0815,1.00000000,0.00000000,1.00000000
0.0825,1.00000000,0.00000000,1.00000000
0.0835,1.00000000,0.00000000,1.00000000
0.0845,1.00000000,0.00000000,1.00000000
0.0855,1.00000000,0.00000000,1.00000000
0.0865,1.00000000,0.00000000,1.00000000
0.0875,1.00000000,0.00000000,1.00000000
0.0885,1.00000000,0.00000000,1.00000000
0.0895,1.00000000,0.00000000,1.00000000
0.0905,1.00000000,0.00000000,1.00000000
0.0915,1.00000000,0.00000000,1.00000000
0.0925,1.00000000,0.00000000,1.00000000
0.0935,1.00000000,0.00000000,1.00000000
0.0945,1.00000000,0.00000000,1.00000000
0.0955,1.00000000,0.00000000,1.00000000
0.0965,1.00000000,0.00000000,1.00000000
0.0975,1.00000000,0.00000000,1.00000000
0.0985,1.00000000,0.00000000,1.00000000
0.0995,1.00000000,0.00000000,1.00000000
0.1005,1.00000000,0.00000000,1.00000000
0.1015,1.00000000,0.00000000,1.00000000
0.1025,1.00000000,0.00000000,1.00000000
0.1035,1.00000000,0.00000000,1.00000000
0.1045,1.00000000,0.00000000,1.00000000
0.1055,1.00000000,0.00000000,1.00000000
0.1065,1.00000000,0.00000000,1.00000000
0.1075,1.00000000,0.00000000,1.00000000
0.1085,1.00000000,0.00000000,1.00000000
0.1095,1.00000000,0.00000000,1.00000000
0.1105,1.00000000,0.00000000,1.00000000
0.1115,1.00000000,0.00000000,1.00000000
0.1125,1.00000000,0.00000000,1.00000000
0.1135,1.00000000,0.00000000,1.00000000
0.1145,1.00000000,0.00000000,1.00000000
0.1155,1.00000000,0.00000000,1.00000000
0.1165,1.00000000,0.00000000,1.00000000
0.1175,1.00000000,0.00000000,1.00000000
0.1185,1.00000000,0.00000000,1.00000000
0.1195,1.00000000,0.00000000,1.00000000
0.1205,1.00000000,0.00000000,1.00000000
0.1215,1.00000000,0.00000000,1.00000000
0.1225,1.00000000,0.00000000,1.00000000
0.1235,1.00000000,0.00000000,1.00000000
0.1245,1.00000000,0.00000000,1.00000000
0.1255,1.00000000,0.00000000,1.00000000
0.1265,1.00000000,0.00000000,1.00000000
0.1275,1.00000000,0.00000000,1.00000000
0.1285,1.00000000,0.00000000,1.00000000
0.1295,1.00000000,0.00000000,1.00000000
0.1305,1.00000000,0.00000000,1.00000000
0.1315,1.00000000,0.00000000,1.00000000
0.1325,1.00000000,0.00000000,1.00000000
0.1335,1.00000000,0.00000000,1.00000000
0.1345,1.00000000,0.00000000,1.00000000
0.1355,1.00000000,0.00000000,1.00000000
0.1365,1.00000000,0.00000000,1.00000000
0.1375,1.00000000,0.00000000,1.00000000
0.1385,1.00000000,0.00000000,1.00000000
0.1395,1.00000000,0.00000000,1.00000000
0.1405,1.00000000,0.00000000,1.00000000
0.1415,1.00000000,0.00000000,1.00000000
0.1425,1.00000000,0.00000000,1.00000000
0.1435,1.00000000,0.00000000,1.00000000
0.1445,1.00000000,0.00000000,1.00000000
0.1455,1.00000000,0.00000000,1.00000000
0.1465,1.00000000,0.00000000,1.00000000
0.1475,1.00000000,0.00000000,1.00000000
0.1485,1.00000000,0.00000000,1.00000000
0.1495,1.00000000,0.00000000,1.00000000
0.1505,1.00000000,0.00000000,1.00000000
0.1515,1.00000000,0.00000000,1.00000000
0.1525,1.00000000,0.00000000,1.00000000
0.1535,1.00000000,0.00000000,1.00000000
0.1545,1.00000000,0.00000000,1.00000000
0.1555,1.00000000,0.00000000,1.00000000
0.1565,1.00000000,0.00000000,1.00000000
0.1575,1.00000000,0.00000000,1.00000000
0.1585,1.00000000,0.00000000,1.00000000
0.1595,1.00000000,0.00000000,1.00000000
0.1605,1.00000000,0.00000000,1.00000000
0.1615,1.00000000,0.00000000,1.00000000
0.1625,1.00000000,0.00000000,1.00000000
0.1635,1.00000000,0.00000000,1.00000000
0.1645,1.00000000,0.00000000,1.00000000
0.1655,1.00000000,0.00000000,1.00000000
0.1665,1.00000000,0.00000000,1.00000000
0.1675,1.00000000,0.00000000,1.00000000
0.1685,1.00000000,0.00000000,1.00000000
0.1695,1.00000000,0.00000000,1.00000000
0.1705,1.00000000,0.00000000,1.00000000
0.1715,1.00000000,0.00000000,1.00000000
0.1725,1.00000000,0.00000000,1.00000000
0.1735,1.00000000,0.00000000,1.00000000
0.1745,1.00000000,0.00000000,1.00000000
0.1755,1.00000000,0.00000000,1.00000000
0.1765,1.00000000,0.00000000,1.00000000
0.1775,1.00000000,0.00000000,1.00000000
0.1785,1.00000000,0.00000000,1.00000000
0.1795,1.00000000,0.00000000,1.00000000
0.1805,1.00000000,0.00000000,1.00000000
0.1815,1.00000000,0.00000000,1.00000000
0.1825,1.00000000,0.00000000,1.00000000
0.1835,1.00000000,0.00000000,1.00000000
0.1845,1.00000000,0.00000000,1.00000000
0.1855,1.00000000,0.00000000,1.00000000
0.1865,1.00000000,0.00000000,1.00000000
0.1875,1.00000000,0.00000000,1.00000000
0.1885,1.00000000,0.00000000,1.00000000
0.1895,1.00000000,0.00000000,1.00000000
0.1905,1.00000000,0.00000000,1.00000000
0.1915,1.00000000,0.00000000,1.00000000
0.1925,1.00000000,0.00000000,1.00000000
0.1935,1.00000000,0.00000000,1.00000000
0.1945,1.00000000,0.00000000,1.00000000
0.1955,1.00000000,0.00000000,1.00000000
0.1965,1.00000000,0.00000000,1.00000000
0.1975,1.00000000,0.00000000,1.00000000
0.1985,1.00000000,0.00000000,1.00000000
0.1995,1.00000000,0.00000000,1.00000000
0.2005,1.00000000,0.00000000,1.00000000
0.2015,1.00000000,0.00000000,1.00000000
0.2025,1.00000000,0.00000000,1.00000000
0.2035,1.00000000,0.00000000,1.00000000
0.2045,1.00000000,0.00000000,1.00000000
0.2055,1.00000000,0.00000000,1.00000000
0.2065,1.00000000,0.00000000,1.00000000
0.2075,1.00000000,0.00000000,1.00000000
0.2085,1.00000000,0.00000000,1.00000000
0.2095,1.00000000,0.00000000,1.00000000
0.2105,1.00000000,0.00000000,1.00000000
0.2115,1.00000000,0.00000000,1.00000000
0.2125,1.00000000,0.00000000,1.00000000
0.2135,1.00000000,0.00000000,1.00000000
0.2145,1.00000000,0.00000000,1.00000000
0.2155,1.00000000,0.00000000,1.00000000
0.2165,1.00000000,0.00000000,1.00000000
0.2175,1.00000000,0.00000000,1.00000000
0.2185,1.00000000,0.00000000,1.00000000
0.2195,1.00000000,0.00000000,1.00000000
0.2205,1.00000000,0.00000000,1.00000000
0.2215,1.00000000,0.00000000,1.00000000
0.2225,1.00000000,0.00000000,1.00000000
0.2235,1.00000000,0.00000000,1.00000000
0.2245,1.00000000,0.00000000,1.00000000
0.2255,1.00000000,0.00000000,1.00000000
0.2265,1.00000000,0.00000000,1.00000000
0.2275,1.00000000,0.00000000,1.00000000
0.2285,1.00000000,0.00000000,1.00000000
0.2295,1.00000000,0.00000000,1.00000000
0.2305,1.00000000,0.00000000,1.00000000
0.2315,1.00000000,0.00000000,1.00000000
0.2325,1.00000000,0.00000000,1.00000000
0.2335,1.00000000,0.00000000,1.00000000
0.2345,1.00000000,0.00000000,1.00000000
0.2355,1.00000000,0.00000000,1.00000000
0.2365,1.00000000,0.00000000,1.00000000
0.2375,1.00000000,0.00000000,1.00000000
0.2385,1.00000000,0.00000000,1.00000000
0.2395,1.00000000,0.00000000,1.00000000
0.2405,1.00000000,0.00000000,1.00000000
0.2415,1.00000000,0.00000000,1.00000000
0.2425,1.00000000,0.00000000,1.00000000
0.2435,1.00000000,0.00000000,1.00000000
0.2445,1.00000000,0.00000000,1.00000000
0.2455,1.00000000,0.00000000,1.00000000
0.2465,1.00000000,0.00000000,1.00000000
0.2475,1.00000000,0.00000000,1.00000000
0.2485,1.00000000,0.00000000,1.00000000
0.2495,1.00000000,0.00000000,1.00000000
0.2505,1.00000000,0.00000000,1.00000000
0.2515,1.00000000,0.00000000,1.00000000
0.2525,1.00000000,0.00000000,1.00000000
0.2535,1.00000000,0.00000000,1.00000000
0.2545,1.00000000,0.00000000,1.00000000
0.2555,1.00000000,0.00000000,1.00000000
0.2565,1.00000000,0.00000000,1.00000000
0.2575,1.00000000,0.00000000,1.00000000
0.2585,1.00000000,0.00000000,1.00000000
0.2595,1.00000000,0.00000000,1.00000000
0.2605,1.00000000,0.00000000,1.00000000
0.2615,1.00000000,0.00000000,1.00000000
0.2625,1.00000000,0.00000000,1.00000000
0.2635,0.99949586,0.00059663,0.99929427
0.2645,0.99598076,0.00476330,0.99437759
0.2655,0.99247555,0.00892996,0.98948165
0.2665,0.98898022,0.01309663,0.98460639
0.2675,0.98549475,0.01726330,0.97975174
0.2685,0.98201911,0.02142996,0.97491761
0.2695,0.97855329,0.02559663,0.97010395
0.2705,0.97509725,0.02976330,0.96531067
0.2715,0.97165099,0.03392996,0.96053771
0.2725,0.96821448,0.03809663,0.95578498
0.2735,0.96478770,0.04226330,0.95105243
0.2745,0.96137063,0.04642996,0.94633998
0.2755,0.95796325,0.05059663,0.94164756
0.2765,0.95456553,0.05476330,0.93697510
0.2775,0.95117747,0.05892996,0.93232252
0.2785,0.94779903,0.06309663,0.92768976
0.2795,0.94443020,0.06726330,0.92307675
0.2805,0.94107095,0.07142996,0.91848341
0.2815,0.93772127,0.07559663,0.91390967
0.2825,0.93438113,0.07976330,0.90935547
0.2835,0.93105052,0.08392996,0.90482074
0.2845,0.92772942,0.08809663,0.90030541
0.2855,0.92441779,0.09226330,0.89580940
0.2865,0.92111564,0.09642996,0.89133265
0.2875,0.91782292,0.10059663,0.88687509
0.2885,0.91453963,0.10476330,0.88243666
0.2895,0.91126574,0.10892996,0.87801727
0.2905,0.90800123,0.11309663,0.87361687
0.2915,0.90474609,0.11726330,0.86923539
0.2925,0.90150029,0.12142996,0.86487275
0.2935,0.89826381,0.12559663,0.86052890
0.2945,0.89503663,0.12976330,0.85620376
0.2955,0.89181873,0.13392996,0.85189727
0.2965,0.88861010,0.13809663,0.84760936
0.2975,0.88541071,0.14226330,0.84333996
0.2985,0.88222054,0.14642996,0.83908900
0.2995,0.87903957,0.15059663,0.83485643
0.3005,0.87586779,0.15476330,0.83064217
0.3015,0.87270516,0.15892996,0.82644616
0.3025,0.86955168,0.16309663,0.82226832
0.3035,0.86640733,0.16726330,0.81810861
0.3045,0.86327207,0.17142996,0.81396694
0.3055,0.86014590,0.17559663,0.80984326
0.3065,0.85702879,0.17976330,0.80573750
0.3075,0.85392072,0.18392996,0.80164959
0.3085,0.85082168,0.18809663,0.79757947
0.3095,0.84773164,0.19226330,0.79352708
0.3105,0.84465059,0.19642996,0.78949235
0.3115,0.84157850,0.20059663,0.78547522
0.3125,0.83851536,0.20476330,0.78147562
0.3135,0.83546114,0.20892996,0.77749349
0.3145,0.83241583,0.21309663,0.77352876
0.3155,0.82937941,0.21726330,0.76958138
0.3165,0.82635185,0.22142996,0.76565127
0.3175,0.82333314,0.22559663,0.76173838
0.3185,0.82032326,0.22976330,0.75784264
0.3195,0.81732219,0.23392996,0.75396400
0.3205,0.81432991,0.23809663,0.75010238
0.3215,0.81134640,0.24226330,0.74625772
0.3225,0.80837164,0.24642996,0.74242997
0.3235,0.80540561,0.25059663,0.73861906
0.3245,0.80244830,0.25476330,0.73482493
0.3255,0.79949967,0.25892996,0.73104752
0.3265,0.79655973,0.26309663,0.72728676
0.3275,0.79362843,0.26726330,0.72354260
0.3285,0.79070578,0.27142996,0.71981497
0.3295,0.78779174,0.27559663,0.71610382
0.3305,0.78488629,0.27976330,0.71240908
0.3315,0.78198943,0.28392996,0.70873069
0.3325,0.77910113,0.28809663,0.70506859
0.3335,0.77622136,0.29226330,0.70142272
0.3345,0.77335012,0.29642996,0.69779302
0.3355,0.77048738,0.30059663,0.69417944
0.3365,0.76763313,0.30476330,0.69058190
0.3375,0.76478734,0.30892996,0.68700036
0.3385,0.76195000,0.31309663,0.68343476
0.3395,0.75912108,0.31726330,0.67988502
0.3405,0.75630058,0.32142996,0.67635110
0.3415,0.75348846,0.32559663,0.67283294
0.3425,0.75068471,0.32976330,0.66933048
0.3435,0.74788932,0.33392996,0.66584365
0.3445,0.74510226,0.33809663,0.66237241
0.3455,0.74232351,0.34226330,0.65891669
0.3465,0.73955307,0.34642996,0.65547643
0.3475,0.73679090,0.35059663,0.65205158
0.3485,0.73403699,0.35476330,0.64864208
0.3495,0.73129132,0.35892996,0.64524787
0.3505,0.72855387,0.36309663,0.64186890
0.3515,0.72582462,0.36726330,0.63850511
0.3525,0.72310357,0.37142996,0.63515644
0.3535,0.72039067,0.37559663,0.63182283
0.3545,0.71768593,0.37976330,0.62850423
0.3555,0.71498932,0.38392996,0.62520058
0.3565,0.71230082,0.38809663,0.62191183
0.3575,0.70962041,0.39226330,0.61863792
0.3585,0.70694808,0.39642996,0.61537879
0.3595,0.70428380,0.40059663,0.61213439
0.3605,0.70162757,0.40476330,0.60890467
0.3615,0.69897935,0.40892996,0.60568956
0.3625,0.69633914,0.41309663,0.60248901
0.3635,0.69370691,0.41726330,0.59930297
0.3645,0.69108264,0.42142996,0.59613138
0.3655,0.68846633,0.42559663,0.59297419
0.3665,0.68585794,0.42976330,0.58983134
0.3675,0.68325747,0.43392996,0.58670278
0.3685,0.68066489,0.43809663,0.58358845
0.3695,0.67808019,0.44226330,0.58048831
0.3705,0.67550334,0.44642996,0.57740229
0.3715,0.67293434,0.45059663,0.57433035
0.3725,0.67037315,0.45476330,0.57127242
0.3735,0.66781977,0.45892996,0.56822846
0.3745,0.66527418,0.46309663,0.56519842
0.3755,0.66273636,0.46726330,0.56218223
0.3765,0.66020628,0.47142996,0.55917985
0.3775,0.65768394,0.47559663,0.55619123
0.3785,0.65516932,0.47976330,0.55321630
0.3795,0.65266239,0.48392996,0.55025503
0.3805,0.65016314,0.48809663,0.54730735
0.3815,0.64767155,0.49226330,0.54437322
0.3825,0.64518761,0.49642996,0.54145258
0.3835,0.64271130,0.50059663,0.53854538
0.3845,0.64024259,0.50476330,0.53565158
0.3855,0.63778148,0.50892996,0.53277111
0.3865,0.63532794,0.51309663,0.52990393
0.3875,0.63288196,0.51726330,0.52704998
0.3885,0.63044352,0.52142996,0.52420922
0.3895,0.62801260,0.52559663,0.52138159
0.3905,0.62558918,0.52976330,0.51856705
0.3915,0.62317325,0.53392996,0.51576554
0.3925,0.62076479,0.53809663,0.51297702
0.3935,0.61836378,0.54226330,0.51020142
0.3945,0.61597021,0.54642996,0.50743871
0.3955,0.61358406,0.55059663,0.50468883
0.3965,0.61120530,0.55476330,0.50195173
0.3975,0.60883393,0.55892996,0.49922737
0.3985,0.60646993,0.56309663,0.49651569
0.3995,0.60411327,0.56726330,0.49381665
0.4005,0.60176395,0.57142996,0.49113019
0.4015,0.59942194,0.57559663,0.48845627
0.4025,0.59708723,0.57976330,0.48579484
0.4035,0.59475980,0.58392996,0.48314584
0.4045,0.59243963,0.58809663,0.48050924
0.4055,0.59012671,0.59226330,0.47788498
0.4065,0.58782102,0.59642996,0.47527302
0.4075,0.58552254,0.60059663,0.47267330
0.4085,0.58323126,0.60476330,0.47008577
0.4095,0.58094715,0.60892996,0.46751040
0.4105,0.57867021,0.61309663,0.46494714
0.4115,0.57640041,0.61726330,0.46239592
0.4125,0.57413774,0.62142996,0.45985672
0.4135,0.57188218,0.62559663,0.45732948
0.4145,0.56963372,0.62976330,0.45481415
0.4155,0.56739233,0.63392996,0.45231069
0.4165,0.56515801,0.63809663,0.44981905
0.4175,0.56293073,0.64226330,0.44733918
0.4185,0.56071048,0.64642996,0.44487104
0.4195,0.55849723,0.65059663,0.44241459
0.4205,0.55629099,0.65476330,0.43996977
0.4215,0.55409172,0.65892996,0.43753653
0.4225,0.55189941,0.66309663,0.43511484
0.4235,0.54971405,0.66726330,0.43270465
0.4245,0.54753561,0.67142996,0.43030592
0.4255,0.54536409,0.67559663,0.42791858
0.4265,0.54319946,0.67976330,0.42554262
0.4275,0.54104171,0.68392996,0.42317796
0.4285,0.53889082,0.68809663,0.42082458
0.4295,0.53674678,0.69226330,0.41848243
0.4305,0.53460957,0.69642996,0.41615146
0.4315,0.53247917,0.70059663,0.41383162
0.4325,0.53035557,0.70476330,0.41152288
0.4335,0.52823875,0.70892996,0.40922519
0.4345,0.52612869,0.71309663,0.40693850
0.4355,0.52402539,0.71726330,0.40466278
0.4365,0.52192881,0.72142996,0.40239797
0.4375,0.51983895,0.72559663,0.40014403
0.4385,0.51775579,0.72976330,0.39790093
0.4395,0.51567932,0.73392996,0.39566861
0.4405,0.51360951,0.73809663,0.39344703
0.4415,0.51154635,0.74226330,0.39123616
0.4425,0.50948983,0.74642996,0.38903594
0.4435,0.50743993,0.75059663,0.38684634
0.4445,0.50539663,0.75476330,0.38466731
0.4455,0.50335992,0.75892996,0.38249880
0.4465,0.50132978,0.76309663,0.38034079
0.4475,0.49930619,0.76726330,0.37819322
0.4485,0.49728915,0.77142996,0.37605605
0.4495,0.49527863,0.77559663,0.37392924
0.4505,0.49327462,0.77976330,0.37181275
0.4515,0.49127710,0.78392996,0.36970653
0.4525,0.48928605,0.78809663,0.36761056
0.4535,0.48730147,0.79226330,0.36552477
0.4545,0.48532333,0.79642996,0.36344914
0.4555,0.48335162,0.80059663,0.36138361
0.4565,0.48138633,0.80476330,0.35932816
0.4575,0.47942743,0.80892996,0.35728274
0.4585,0.47747492,0.81309663,0.35524730
0.4595,0.47552877,0.81726330,0.35322181
0.4605,0.47358897,0.82142996,0.35120623
0.4615,0.47165551,0.82559663,0.34920052
0.4625,0.46972837,0.82976330,0.34720463
0.4635,0.46780753,0.83392996,0.34521852
0.4645,0.46589298,0.83809663,0.34324217
0.4655,0.46398471,0.84226330,0.34127552
0.4665,0.46208269,0.84642996,0.33931853
0.4675,0.46018691,0.85059663,0.33737117
0.4685,0.45829737,0.85476330,0.33543340
0.4695,0.45641403,0.85892996,0.33350518
0.4705,0.45453689,0.86309663,0.33158647
0.4715,0.45266594,0.86726330,0.32967722
0.4725,0.45080115,0.87142996,0.32777741
0.4735,0.44894251,0.87559663,0.32588699
0.4745,0.44709000,0.87976330,0.32400592
0.4755,0.44524362,0.88392996,0.32213416
0.4765,0.44340334,0.88809663,0.32027168
0.4775,0.44156915,0.89226330,0.31841844
0.4785,0.43974103,0.89642996,0.31657440
0.4795,0.43791898,0.90059663,0.31473952
0.4805,0.43610297,0.90476330,0.31291376
0.4815,0.43429299,0.90892996,0.31109709
0.4825,0.43248903,0.91309663,0.30928947
0.4835,0.43069106,0.91726330,0.30749085
0.4845,0.42889908,0.92142996,0.30570121
0.4855,0.42711307,0.92559663,0.30392050
0.4865,0.42631943,0.92745262,0.30313018
0.4875,0.42631943,0.92745262,0.30313018
0.4885,0.42631943,0.92745262,0.30313018
0.4895,0.42631943,0.92745262,0.30313018
0.4905,0.42631943,0.92745262,0.30313018
0.4915,0.42631943,0.92745262,0.30313018
0.4925,0.42631943,0.92745262,0.30313018
0.4935,0.42631943,0.92745262,0.30313018
0.4945,0.42631943,0.92745262,0.30313018
0.4955,0.42631943,0.92745262,0.30313018
0.4965,0.42631943,0.92745262,0.30313018
0.4975,0.42631943,0.92745262,0.30313018
0.4985,0.42631943,0.92745262,0.30313018
0.4995,0.42631943,0.92745262,0.30313018
0.5005,0.42631943,0.92745262,0.30313018
0.5015,0.42631943,0.92745262,0.30313018
0.5025,0.42631943,0.92745262,0.30313018
0.5035,0.42631943,0.92745262,0.30313018
0.5045,0.42631943,0.92745262,0.30313018
0.5055,0.42631943,0.92745262,0.30313018
0.5065,0.42631943,0.92745262,0.30313018
0.5075,0.42631943,0.92745262,0.30313018
0.5085,0.42631943,0.92745262,0.30313018
0.5095,0.42631943,0.92745262,0.30313018
0.5105,0.42631943,0.92745262,0.30313018
0.5115,0.42631943,0.92745262,0.30313018
0.5125,0.42631943,0.92745262,0.30313018
0.5135,0.42631943,0.92745262,0.30313018
0.5145,0.42631943,0.92745262,0.30313018
0.5155,0.42631943,0.92745262,0.30313018
0.5165,0.42631943,0.92745262,0.30313018
0.5175,0.42631943,0.92745262,0.30313018
0.5185,0.42631943,0.92745262,0.30313018
0.5195,0.42631943,0.92745262,0.30313018
0.5205,0.42631943,0.92745262,0.30313018
0.5215,0.42631943,0.92745262,0.30313018
0.5225,0.42631943,0.92745262,0.30313018
0.5235,0.42631943,0.92745262,0.30313018
0.5245,0.42631943,0.92745262,0.30313018
0.5255,0.42631943,0.92745262,0.30313018
0.5265,0.42631943,0.92745262,0.30313018
0.5275,0.42631943,0.92745262,0.30313018
0.5285,0.42631943,0.92745262,0.30313018
0.5295,0.42631943,0.92745262,0.30313018
0.5305,0.42631943,0.92745262,0.30313018
0.5315,0.42631943,0.92745262,0.30313018
0.5325,0.42631943,0.92745262,0.30313018
0.5335,0.42631943,0.92745262,0.30313018
0.5345,0.42631943,0.92745262,0.30313018
0.5355,0.42631943,0.92745262,0.30313018
0.5365,0.42631943,0.92745262,0.30313018
0.5375,0.42631943,0.92745262,0.30313018
0.5385,0.42631943,0.92745262,0.30313018
0.5395,0.42631943,0.92745262,0.30313018
0.5405,0.42631943,0.92745262,0.30313018
0.5415,0.42631943,0.92745262,0.30313018
0.5425,0.42631943,0.92745262,0.30313018
0.5435,0.42631943,0.92745262,0.30313018
0.5445,0.42631943,0.92745262,0.30313018
0.5455,0.42631943,0.92745262,0.30313018
0.5465,0.42631943,0.92745262,0.30313018
0.5475,0.42631943,0.92745262,0.30313018
0.5485,0.42631943,0.92745262,0.30313018
0.5495,0.42631943,0.92745262,0.30313018
0.5505,0.42631943,0.92745262,0.30313018
0.5515,0.42631943,0.92745262,0.30313018
0.5525,0.42631943,0.92745262,0.30313018
0.5535,0.42631943,0.92745262,0.30313018
0.5545,0.42631943,0.92745262,0.30313018
0.5555,0.42631943,0.92745262,0.30313018
0.5565,0.42631943,0.92745262,0.30313018
0.5575,0.42631943,0.92745262,0.30313018
0.5585,0.42631943,0.92745262,0.30313018
0.5595,0.42631943,0.92745262,0.30313018
0.5605,0.42631943,0.92745262,0.30313018
0.5615,0.42631943,0.92745262,0.30313018
0.5625,0.42631943,0.92745262,0.30313018
0.5635,0.42631943,0.92745262,0.30313018
0.5645,0.42631943,0.92745262,0.30313018
0.5655,0.42631943,0.92745262,0.30313018
0.5665,0.42631943,0.92745262,0.30313018
0.5675,0.42631943,0.92745262,0.30313018
0.5685,0.42631943,0.92745262,0.30313018
0.5695,0.42631943,0.92745262,0.30313018
0.5705,0.42631943,0.92745262,0.30313018
0.5715,0.42631943,0.92745262,0.30313018
0.5725,0.42631943,0.92745262,0.30313018
0.5735,0.42631943,0.92745262,0.30313018
0.5745,0.42631943,0.92745262,0.30313018
0.5755,0.42631943,0.92745262,0.30313018
0.5765,0.42631943,0.92745262,0.30313018
0.5775,0.42631943,0.92745262,0.30313018
0.5785,0.42631943,0.92745262,0.30313018
0.5795,0.42631943,0.92745262,0.30313018
0.5805,0.42631943,0.92745262,0.30313018
0.5815,0.42631943,0.92745262,0.30313018
0.5825,0.42631943,0.92745262,0.30313018
0.5835,0.42631943,0.92745262,0.30313018
0.5845,0.42631943,0.92745262,0.30313018
0.5855,0.42631943,0.92745262,0.30313018
0.5865,0.42631943,0.92745262,0.30313018
0.5875,0.42631943,0.92745262,0.30313018
0.5885,0.42631943,0.92745262,0.30313018
0.5895,0.42631943,0.92745262,0.30313018
0.5905,0.42631943,0.92745262,0.30313018
0.5915,0.42631943,0.92745262,0.30313018
0.5925,0.42631943,0.92745262,0.30313018
0.5935,0.42631943,0.92745262,0.30313018
0.5945,0.42631943,0.92745262,0.30313018
0.5955,0.42631943,0.92745262,0.30313018
0.5965,0.42631943,0.92745262,0.30313018
0.5975,0.42631943,0.92745262,0.30313018
0.5985,0.42631943,0.92745262,0.30313018
0.5995,0.42631943,0.92745262,0.30313018
0.6005,0.42631943,0.92745262,0.30313018
0.6015,0.42631943,0.92745262,0.30313018
0.6025,0.42631943,0.92745262,0.30313018
0.6035,0.42631943,0.92745262,0.30313018
0.6045,0.42631943,0.92745262,0.30313018
0.6055,0.42631943,0.92745262,0.30313018
0.6065,0.42631943,0.92745262,0.30313018
