VARIABLES =      SA                    DA                    DA_kink               AR                    TR                    kink                  rootadj               rtcs_0                rtcs_1                rtcs_2                cambers_0             cambers_1             cambers_2             twists_0              twists_1              twists_2              twists_3              U0                    U1                    U2                    U3                    U4                    U5                    U6                    U7                    U8                    U9                    U0                    U1                    U2                    U3                    U4                    U5                    U6                    U7                    U8                    U9                    tcroot                M30                   M31                   M32                   M33                   M34                   M35                   M36                   M37                   AA0                   AA1                   AA2                   AA3                   AA4                   AA5                   AA6                   AA7                   
     10         35.4913916732          5.1178025760          5.5521488675         10.9247732336          0.3416793641          0.3951205342          0.3692213410          0.6962679734          0.9638196618          0.9292744605          0.7597393078          0.8113412730          0.5509359455         -2.3409449346         -3.0411225498         -1.5383045432         -2.7349995237          0.1289205017          0.1301097829          0.1961016025          0.0860362330          0.2681063809          0.1664673422          0.0971066737          0.1509758811          0.2047102139          0.0511774759         -0.1598583688         -0.0325571228         -0.2144831015         -0.0398055145         -0.1466687773         -0.0997356972         -0.0986057136         -0.1999680575          0.1997509333          0.0860522231          0.1455694143          0.7583602629          0.7566759623          0.7742605450          0.7541202331          0.7597510445          0.7548736798          0.7547380294          0.7649552490          4.2694353606          5.6413255279          7.1963288751          6.7896014976          8.6565301464          7.3174384910          8.5597454729          8.0164431215 
     11         31.4917389208          5.6252292071          3.3661677300          8.4565528501          0.2014532231          0.3986893338          0.2191119795          0.6625409059          0.9282946667          0.9260356078          0.6918948094          0.6489420477          0.0745856269         -2.8731236587         -3.5578914333         -1.6895985566         -2.1124433471          0.1470563707          0.1079605591          0.2434069457          0.0534366929          0.2337289050          0.2881379378          0.0791431401          0.1788264412          0.2365022314          0.1518396447         -0.1513675445         -0.0468675846         -0.2454871878          0.0177403604         -0.2799957926         -0.1060236530         -0.0944104460         -0.2066698012          0.2000000000          0.1864923191          0.1458327893          0.7574242052          0.7600609767          0.7570530977          0.7567707812          0.7696572253          0.7557744380          0.7500143436          0.7599992687         10.5160422104          9.7255990086         11.9160418310          5.4387821536          6.3062237945          6.3721253432         11.4653104854         10.3319148606 
     12         25.6345534084          5.3073560674          5.1547948410         10.4609547453          0.3657656028          0.3935486532          0.6725117732          0.6463997328          0.9607411578          0.9707961135          0.5136972847          0.9452621071          0.5629342225         -3.0320770671         -2.7947701416         -2.8551462652         -2.6173687140          0.1281095153          0.1356436788          0.2090272977          0.0828286088          0.2325624642          0.1747578906          0.1812355278          0.1416074948          0.2981447692          0.0484613676         -0.1512835055         -0.0524365100         -0.2168249477         -0.0356072693         -0.1644421352         -0.0931854024         -0.1120555776         -0.1999821963          0.2000000000          0.0983611296          0.1422736800          0.7574471873          0.7582075139          0.7561555651          0.7680478122          0.7563332111          0.7622491968          0.7696941482          0.7518935237          9.0888160308          9.2951452826          3.4414210857          8.5786085711          8.8578117298          2.7633508993          3.7440037483          4.7390897899 
     13         35.1513115055          5.8749855254          1.3368085162          9.0752732475          0.2550672073          0.4022648747          0.3434526372          0.6324990725          0.9615875798          0.9790420921          0.5679424407          0.8625019362          0.7123467742         -3.4654998275         -2.4480582912         -2.2153460356         -2.7888468454          0.1298027842          0.1098881294          0.1968713070         -0.0135401409          0.3970113052         -0.1864009791          0.5589109485         -0.0346095766          0.2331792948          0.2387982273         -0.1226038067         -0.0351333590         -0.2128451689          0.0210067075         -0.3094823572         -0.1037813974         -0.1927549366         -0.0823346392          0.1993291060          0.2245185658          0.1435390866          0.7663731199          0.7637049281          0.7720148485          0.7628425753          0.7609710794          0.7549001965          0.7573844778          0.7595739665          5.8665602326          6.8552637672         11.2159130539         11.5811179263         11.4206723090          8.3536963277          5.0984571037          7.4162410854 
     14         26.4714430620          4.0530084587          5.1763773203         10.2265594574          0.1818734169          0.4177437464          0.2487700688          0.6978683408          0.9504591041          0.9258176836          0.5971183869          0.9270873396          0.0463803081         -3.2116506267         -3.4753137575         -2.3709866738         -1.1895091767          0.1391148699          0.1063844177          0.2080122720          0.0245578345          0.2233527486          0.2423204973          0.0881117449          0.1194132342          0.2187874950          0.1644865776         -0.1497731619         -0.0381694565         -0.2257923305          0.0357234809         -0.2729241932         -0.0951531314         -0.1031328395         -0.2044511916          0.2000000000          0.1653158365          0.1410060998          0.7690302920          0.7605909086          0.7533227041          0.7582605725          0.7632157665          0.7587908182          0.7689409450          0.7706555170          3.0452814342          6.6785432845          3.9043674678          8.1225339685          3.6324306766         11.5200193942         10.1257272746          7.1082395813 
     15         39.5433845583          4.5606673201          2.8900554698          8.1995830023          0.3462698450          0.4174228912          0.3965548605          0.6349983270          0.9162333269          0.9855848262          0.7096596218          0.6286258812          0.7874915970         -2.8340123126         -3.3051241657         -2.9964235269         -1.9456547827          0.1420314660          0.1126347339          0.2353992060          0.0537019032          0.2308659204          0.3033755389          0.0811257828          0.1689182290          0.2320983378          0.1522177634         -0.1510845423         -0.0478773268         -0.2464900518          0.0179422256         -0.2820415643         -0.1084540912         -0.0924858393         -0.2084623721          0.2000000000          0.1894695682          0.1430139002          0.7698943145          0.7626566999          0.7622216164          0.7689185589          0.7727661681          0.7545327794          0.7521691293          0.7634648322         11.2467960280          4.0480748731          9.1677642924          3.9717892008          4.7770307122          6.5903458254          9.4786649503          8.8984625185 
     16         35.2720635113          4.4719332207          1.2695708701         10.8066276245          0.2720829445          0.3916470842          0.4869201033          0.6199621471          0.9634374892          0.9881053809          0.6008430525          0.6455944523          0.6158113607         -2.2726323792         -3.7619106891         -1.6015704147         -1.8792352731          0.1484927663          0.0885104255          0.1995891828          0.0075731935          0.2788635735         -0.0130020836          0.3025984707          0.0965222707          0.2493190253          0.2744250145         -0.1377873106         -0.0409746514         -0.2358902254          0.0583216497         -0.3467613036          0.0279121277         -0.2140326892         -0.0873799785          0.0705671851          0.2472445887          0.1420413700          0.7662442603          0.7690233249          0.7663690120          0.7654966079          0.7707523409          0.7591079289          0.7737439128          0.7545574770         10.6632111181          9.8504812830          7.1420979857          4.8931935058          9.7427524332          6.4123131564         10.9301804446          2.7569120701 
     17         32.7654761121          4.9092480363          5.8386727648          8.8897973430          0.3958072414          0.4076706515          0.3091488069          0.6568137509          0.9487015283          0.9267070896          0.7234192446          0.5065586074          0.2073179685         -2.9499023089         -2.5210988569         -1.7030318172         -1.2652840474          0.1391155011          0.1341441872          0.1944043381          0.0965553842          0.2361625565          0.2566712602          0.1016960280          0.1441447272          0.2107807280          0.1764186042         -0.1496502827         -0.0478965649         -0.2552509154          0.0162138119         -0.2703204309         -0.1000028448         -0.1042632370         -0.1985816362          0.2000000000          0.1946790713          0.1404198768          0.7737937450          0.7728308556          0.7603395877          0.7548804033          0.7640014389          0.7507144458          0.7573419386          0.7642654629          8.1262601651         11.4185488653          9.9240596178          8.8357192830          4.9513398790          3.0357579877          3.4081954124          7.7198205066 
     18         38.3110060990          4.8697704666          2.5718588288          8.8775373557          0.2174753333          0.3938884514          0.6769974211          0.6244151334          0.9562730987          0.9883307032          0.6632237865          0.8147719892          0.6782284810         -3.3307779145         -3.9795651670         -1.8436940050         -2.5480427576          0.1391155011          0.1248114367          0.2037773647          0.0983827764          0.2361625565          0.2455287241          0.1016960280          0.1181628760          0.2107807280          0.1611999353         -0.1496502827         -0.0478983680         -0.2436315954          0.0162138119         -0.2752117037         -0.1000066501         -0.1006474762         -0.1999848613          0.2000000000          0.1826677132          0.1456592491          0.7599010395          0.7635721351          0.7559260857          0.7636222473          0.7636086607          0.7667556305          0.7624633882          0.7584786817          6.9429217271          5.9893398782          8.3768084293         11.3891149672          5.9324379109          8.8521112427          4.3217890024         11.4042518909 
     19         30.5883880204          4.2935904205          2.9762530361         10.6328683659          0.2995309670          0.3846935667          0.4574517922          0.6539040113          0.9103985890          0.9883729400          0.7353721550          0.9940798118          0.3398115279         -2.2528417181         -2.2188733962         -2.7623771288         -2.6339099427          0.1391148699          0.1247622170          0.2037845533          0.0982798087          0.2361625565          0.2455312298          0.1017168816          0.1181568651          0.2107807280          0.1611999353         -0.1496570813         -0.0478519923         -0.2436310422          0.0162138119         -0.2752846616         -0.1000000000         -0.1006482280         -0.2000000000          0.2000000000          0.1826677132          0.1411335915          0.7700291468          0.7739819795          0.7580559516          0.7629568420          0.7736996078          0.7528442160          0.7597476117          0.7563075427         11.9562703691          4.9035158368          9.2343680001          4.9599838036          8.3641402587          9.5006559589         11.5648363000         11.9971615257 
     20         31.3281818831          5.2177926679          5.0389762023          8.3533702635          0.1778848950          0.4058988959          0.1051265673          0.6874277831          0.9472639649          0.9676150465          0.5138338755          0.9919083073          0.1265061652         -2.2460869858         -3.4702703946         -2.2611933766         -2.7013422585          0.1493000907          0.1083011136          0.2034234305          0.0628879825          0.2304152285          0.2432855244          0.0815332422          0.1829683556          0.2108125475          0.1553266557         -0.1385458034         -0.0397135182         -0.2464498207          0.0163788007         -0.2821592574         -0.1029051242         -0.0912745955         -0.2073718731          0.2000000000          0.2085837405          0.1420661334          0.7653327622          0.7531475452          0.7581317494          0.7571625466          0.7640865123          0.7506682681          0.7599432280          0.7730687475          6.2684874419          7.1124251956          3.2936295771         10.9685978994          4.3770287721          3.6961371306          5.3597927203          9.8988765568 
     21         39.9971667329          5.7698937167          5.3244013052          8.7363264628          0.2056942981          0.3910027808          0.4284448877          0.6882277593          0.9007477104          0.9675984869          0.6410587426          0.9154092071          0.5855760780         -2.4393082815         -3.9982235107         -1.4858114139         -2.3006329211          0.1309563051          0.1255745297          0.1978940975          0.0839763489          0.2454209482          0.2033518588          0.2047379500          0.1424982475          0.2888562693          0.0550992089         -0.1492863957         -0.0515985670         -0.2258838483         -0.0383781486         -0.1563768794         -0.1024908447         -0.0973278787         -0.2020275812          0.2000000000          0.0918565220          0.1443035200          0.7706027274          0.7585927369          0.7608625037          0.7525545630          0.7672319193          0.7652472497          0.7715799322          0.7604095465          9.2026455392          7.0444641202          4.9388431149          5.6791493607          6.4548681102          4.3906712200          8.9400050920         11.9652336845 
     22         29.4036640798          4.8418524425          3.9766074430          8.5503621024          0.2716349930          0.3955490575          0.4557450852          0.6733429666          0.9771507967          0.9236379332          0.4238150160          0.7664618129          0.7322519587         -2.2023599074         -2.4619265085         -2.4154635507         -2.2774209210          0.1540582537          0.1231172685          0.2073725058          0.1010219522          0.2317069808          0.2571911938          0.0763273595          0.1143721872          0.1712953124          0.1937775195         -0.1495421373         -0.0459789754         -0.2465047465          0.0225709911         -0.2990068150         -0.1138667619         -0.0896341653         -0.1757360573          0.2000000000          0.1801545441          0.1435768208          0.7644089593          0.7710292260          0.7593912783          0.7507332651          0.7590827049          0.7506861436          0.7581496343          0.7512933174         11.2169195081          3.3239366025          7.9003268362         10.6650947845         10.6963517551          3.9842711028          3.1886686074          9.6760868712 
     23         35.0758518795          4.9872378882          3.1211405729          8.5818284765          0.2000232405          0.3634832787          0.5008806714          0.6886534111          0.9577549033          0.9538318346          0.6039092534          0.7218259175          0.6748767097         -2.3083367959         -2.3900544217         -2.8695901637         -1.1745536243          0.1272744490          0.1279110291          0.1913863067          0.0844398141          0.2559546803          0.1789935242          0.2269310519          0.1354990392          0.2995461946          0.0363228699         -0.1487277484         -0.0520151630         -0.2225285216         -0.0462985915         -0.1382131501         -0.1037884175         -0.0952314529         -0.2026450628          0.2000000000          0.0784124303          0.1419134423          0.7504277821          0.7534185098          0.7687297661          0.7658704026          0.7728411378          0.7653008093          0.7594089298          0.7732556018          6.5562774498          2.2282542682          3.4822719509          3.8847919594          7.6502780143         10.3667349202          3.3789785353         11.5225069518 
     24         29.2948328898          4.2877016767          1.5231524293          8.8642656173          0.2323841007          0.3980036033          0.3138484992          0.6651704430          0.9522602578          0.9382876260          0.4858983844          0.7917462154          0.6860596657         -2.2518160501         -3.2916821981         -1.7132704540         -1.1213527695          0.1452442975          0.1241730547          0.2036753589          0.1132698582          0.2230929575          0.2789581226          0.0265755404          0.0963893727          0.1539711463          0.2335220086         -0.1499508455         -0.0450503465         -0.2551102610          0.0522881912         -0.3549563960         -0.0989785911         -0.1020902817         -0.1991487519          0.2000000000          0.2418221827          0.1488058723          0.7500231963          0.7669146305          0.7705896792          0.7680725069          0.7721430082          0.7504409236          0.7705308935          0.7677456780          9.6904690669          4.3216283103          5.0174289286          7.1024185181         11.2129844921         11.6864339683          2.1403777937          7.2236908890 
     25         35.1001051792          4.9277016521          4.3948229606          9.4301220366          0.2700360770          0.3816920757          0.2465171546          0.6337153423          0.9422349448          0.9652279932          0.7640019156          0.8834988542          0.0061852124         -2.5127876383         -2.3755103114         -1.8368541596         -2.8774641753          0.1386964567          0.1248724261          0.2009965909          0.1019965757          0.2204336043          0.2422480968          0.1027481125          0.1091932858          0.2087893555          0.1671343540         -0.1497603345         -0.0478492291         -0.2333956148          0.0211526777         -0.2755686255         -0.1018000134         -0.1010889772         -0.1995847851          0.2000000000          0.1884394724          0.1519810432          0.7669261798          0.7547316001          0.7627716842          0.7502257850          0.7734578369          0.7598381681          0.7721317173          0.7575497929         10.7454857381         11.2162871986         11.4208427788          9.4734350570          4.6015194259          4.1486281374          6.0260838473          8.3373525798 
     26         29.5693577743          5.5117588626          3.7753600414          9.3261166708          0.2157368333          0.3831262441          0.2758536412          0.6284787389          0.9541982512          0.9535595752          0.7542238990          0.6662949228          0.7661383433         -3.6105795205         -2.2576485118         -1.8765105803         -2.8026122508          0.1419587862          0.1371839969          0.2117431214          0.1010556988          0.2120850531          0.2602213215          0.0894306662          0.1045676413          0.1822961769          0.1687133478         -0.1472802523         -0.0529994128         -0.2494751010          0.0162877079         -0.3203192991         -0.0999968975         -0.1085249804         -0.1992401170          0.1936145931          0.2072256935          0.1497999901          0.7705292247          0.7660362486          0.7643532144          0.7648355658          0.7677085823          0.7716278249          0.7553738766          0.7681323035          8.0927131822          5.3065206437          3.6621092050          2.8080604408          8.8429377002          6.8332840743         11.0282263908         10.4953883386 
     27         28.2235622730          5.7479739254          5.6508806223          8.3227229033          0.2180721115          0.3708436022          0.1018457766          0.6964807446          0.9256890737          0.9202546552          0.6334544454          0.5932574998          0.2310465657         -3.0666406467         -3.0756681334         -1.9043859536         -1.0370309418          0.1386964567          0.1248724261          0.2009965909          0.1006550692          0.2363651245          0.2422480968          0.1027481125          0.1140700903          0.2087893555          0.1622252413         -0.1497603345         -0.0478492291         -0.2434842279          0.0160107750         -0.2754744766         -0.0995809788         -0.1010889772         -0.1995847851          0.2000000000          0.1821558992          0.1487102425          0.7648966877          0.7647183158          0.7613959802          0.7567803776          0.7612974448          0.7585503436          0.7614130184          0.7520151063          4.8838043814          5.0891291273         10.9228792293          6.2447581954         11.1076677498          8.7541940602         11.8069513572          9.7116690575 
     28         31.7091668723          4.3093523599          1.9557115677         10.4491946072          0.2048402106          0.3653684627          0.5916242264          0.6032388584          0.9671659849          0.9410171516          0.3762720787          0.9661942886          0.7216554729         -2.1136900601         -3.1153818517         -2.1605581356         -2.3203951672          0.1394384075          0.1234904092          0.2037845533          0.0970330426          0.2357204799          0.2454896303          0.1015409025          0.1181568651          0.2107807280          0.1611999353         -0.1497731619         -0.0478519923         -0.2436310422          0.0162138119         -0.2759923183         -0.1000000000         -0.1006482280         -0.2000417247          0.2000000000          0.1826677132          0.1507011009          0.7511384674          0.7664043303          0.7599155316          0.7746365712          0.7577570586          0.7621125306          0.7693164596          0.7521333164          9.8473181818          3.8130988610          5.6494608021          4.4938040989          8.1295962185          4.5500152981         11.7559308583          3.3300687022 
     29         30.0502476228          4.9777982342          3.0730831636         10.3412907987          0.2218010074          0.3605441536          0.1931323009          0.6582985333          0.9281936974          0.9936782127          0.4141482272          0.9112304806          0.4512431621         -3.7138225702         -3.4526853036         -2.2857749871         -1.6941428476          0.1291973096          0.1143619532          0.1989349975          0.0680017842          0.2272894727          0.2004691599          0.2025424672          0.1480818795          0.2349392464          0.0543312569         -0.1508096347         -0.0519067487         -0.2273489343         -0.0371685651         -0.2980081370         -0.1000897333         -0.0970018854         -0.2037539320          0.2000000000          0.0935759255          0.1512026535          0.7620305729          0.7734916949          0.7692017930          0.7666318838          0.7622445578          0.7584364836          0.7732722736          0.7555057396          6.7451070592          8.9794199017          3.9877022736          3.8588626847          3.1976919321          9.4361731907          3.1753037687          9.0600078142 
     30         34.4998530590          5.3188155328          4.3543886238          8.2817250107          0.3895627674          0.4103598862          0.4786446761          0.6164801627          0.9434296106          0.9792021055          0.4429133148          0.6480451200          0.4855923595         -2.0705250352         -3.7857128232         -1.7559971177         -2.5779493741          0.1306763748          0.1107636125          0.1972392086          0.0495123476          0.2434013161          0.1992245915          0.0979904765          0.1600875952          0.2242648056          0.1547131057         -0.1497316771         -0.0516372002         -0.2430990929          0.0148162900         -0.2696952153         -0.1000153892         -0.1000626634         -0.2020901693          0.2000000000          0.1788114119          0.1463264450          0.7684178807          0.7701262023          0.7586404915          0.7704040029          0.7674088489          0.7620476488          0.7588599784          0.7594319341          6.1403189635          9.8611567964          3.8249286809          9.7366747120          9.2463486788         10.9922338857          5.8363537258          6.7871647883 
     31         33.0023137947          4.2070271897          4.9629387498         10.5866077571          0.3945531141          0.3721859322          0.3086333871          0.6790365192          0.9063280197          0.9965984417          0.5256422818          0.8234659015          0.3043124647         -3.9531755517         -3.6749673252         -2.4572232274         -2.3910652855          0.1386964567          0.1248724261          0.2009965909          0.1015765725          0.2280763878          0.2422480968          0.1232015997          0.0967972541          0.2097847281          0.1716936801         -0.1518627227         -0.0569615973         -0.2425670832          0.0136193528         -0.2698239329         -0.1118395513         -0.1010889772         -0.1917723452          0.1919899293          0.1821558992          0.1476370865          0.7542182434          0.7505961435          0.7592565739          0.7633840540          0.7565638858          0.7652950591          0.7504377832          0.7741988354          4.5589856822          4.4295691040          8.1165327459          9.5889007531          4.9274899966          8.1816706453         11.3133531608          7.6704567917 
     32         30.0926988494          5.2845654212          0.9846692880          8.8302586974          0.2595055178          0.3796720397          0.2387177723          0.6698746396          0.9738912049          0.9866518919          0.4233853106          0.8744084985          0.1453615441         -3.9047630771         -3.9429387410         -1.5749743342         -2.0291963018          0.1386964567          0.1248724261          0.2009965909          0.1006550692          0.2363651245          0.2422480968          0.1027481125          0.1140700903          0.2087893555          0.1617845449         -0.1497603345         -0.0478492291         -0.2434842279          0.0160107750         -0.2754744766         -0.0995809788         -0.1010889772         -0.1995847851          0.2000000000          0.1821558992          0.1511920108          0.7666268509          0.7687069721          0.7551272070          0.7592096814          0.7571003447          0.7594938155          0.7631959081          0.7618848081          4.8695875074          9.3728869542          3.2550237996          3.8397761545          3.2614435742          5.1344416368          8.4495750461          8.2131305432 
     33         26.9073998416          4.6472210031          3.4966540826         10.7908111590          0.3556103567          0.4096878572          0.5041012455          0.6803082179          0.9570561100          0.9557312448          0.5993412844          0.5689267447          0.2246948367         -3.3640234146         -3.8866156400         -1.4333980331         -2.8792702837          0.1424727950          0.1227829483          0.2060978981          0.1012235755          0.2335000393          0.2587142676          0.0681074966          0.1101248047          0.1849550680          0.1817725937         -0.1499678237         -0.0470881955         -0.2496194822          0.0347104495         -0.3166563798         -0.0987735229         -0.1018649994         -0.1992170181          0.2000000000          0.2002353957          0.1480791944          0.7681889151          0.7742846101          0.7745294886          0.7581305650          0.7637915206          0.7529162835          0.7652260862          0.7550812022          6.4001107342          3.4559926971          5.9737976774         11.1932810258          8.9705946450          6.4095224336          7.1117020909          9.0264978820 
